Variety	Biomass_S12_WD	Biomass_S13_WD	Biomass_S16_WD	Biomass_W13_WD	Biomass_S12_WW	Biomass_S13_WW	Biomass_S16_WW	Biomass_W13_WW
Pa405	197.0611495	253.6198973	183.7347414	177.7545555	263.0677849	281.9181941	294.2536602	303.7825845
Pa91	209.5572268	243.6481335	210.8952174	193.8225403	302.6404684	284.3226716	360.0502469	362.8458121
PB116	177.2227957	207.7684208	213.0721841	204.6729588	272.5871076	273.7615396	284.3522418	276.0665685
PB98TR	207.7229263	269.2579463	219.3890808	166.5354915	248.9662629	305.2225963	351.4611749	347.1130474
PH207	122.1147893	197.7278308	192.8636997	182.2347781	180.5066104	275.7105867	288.0114281	250.5465325
PHB09	198.5524743	271.7519684	208.1740475	222.3287244	250.3632392	278.3030855	386.1395896	345.4846222
PHG35	181.7446323	216.014066	210.0204651	225.9306121	203.7673337	230.3037467	310.7918267	250.3161026
PHG39	238.6352149	265.5509754	217.1947428	229.8522178	324.0611142	299.3511688	319.8755339	309.2127235
PHG47	193.0105106	234.1969404	191.3379251	185.3786047	258.8496112	256.8615735	380.7110838	271.2274778
PHG50	164.9377836	235.0509543	198.1334537	202.9135278	260.1846535	276.7234194	325.2010145	350.5024838
PHG71	207.4435855	259.2345369	207.0844445	227.1575235	283.5065121	264.1254791	292.1723075	319.9006619
PHG80	174.518723	251.2515247	196.2083159	212.0891576	284.8324797	251.4775917	299.6800166	315.1435065
PHG84	211.9814636	227.9489236	182.988821	203.5237579	210.2450418	195.6060496	252.9445393	369.3632845
PHG86	194.0302061	208.797306	199.9107169	203.4336629	268.8978774	272.9930724	309.5107089	256.5270131
PHH93	153.80779	225.6288056	178.3734291	232.0003199	251.6795639	282.16904	332.0528064	307.5911001
PHJ40	197.9607622	245.153806	212.9722147	197.6303312	280.1523586	257.8210443	309.9009621	331.0255243
PHK29	231.9573104	257.0257574	225.7559695	250.8123907	324.4833835	325.8602213	370.9251923	313.0950099
PHK76	188.7660007	228.9896057	211.1573686	210.8332902	221.3480074	200.5875129	274.3814366	244.7163287
PHR36	189.5643091	239.5441378	231.2566583	211.1212228	311.0478194	308.2878129	331.4583943	350.8244503
PHT77	187.1175118	268.207345	210.641263	212.2986373	300.128185	338.4268456	380.4374462	316.7923338
PHV63	202.6915842	235.6076741	225.216676	194.165619	300.1667244	284.2621752	323.8098717	332.2313993
PHW65	176.188368	186.4646076	189.9184402	186.6899341	190.531697	217.1369424	316.8671043	254.7718778
PHZ51	211.4180239	263.6665002	219.553632	232.798963	320.1582276	390.9563011	369.5882279	404.8204892
SC-Malawi	244.5068652	337.9829087	270.7219981	305.6972468	333.2636872	443.7046843	364.2370806	405.1425011
SGI061	151.0639896	235.6270105	186.8388477	202.3868322	254.2468803	280.5542907	328.2773372	255.4771658
UH_2500	218.0673579	242.7529788	212.8816689	193.8587673	239.7546892	229.7827373	336.1299036	328.9678386
UH_6102	180.1763054	275.1506764	203.6679448	213.2527703	266.2710647	328.2314993	295.4128284	339.7883029
UH_6179	137.5497206	257.5866991	200.2624285	176.2377391	281.2709649	240.475427	341.2827487	297.8733729
UH_P060	188.6126472	280.4440483	251.4141789	264.0641309	345.5578325	334.1935707	374.2333717	345.5655088
UH_P064	185.8057604	234.8824571	197.7257157	171.4739491	262.849247	313.9102769	360.0359586	334.8179747
UH_P074	178.7864883	207.2611223	210.5143885	191.5217325	234.7448348	256.8130596	372.7560923	291.0101657
UH_P087	174.8741271	227.9187909	194.4755013	171.9664581	199.9845885	252.2992403	296.0618521	248.9728505
UH_P089	210.7696194	237.4979353	221.8883283	191.3319277	239.3538033	296.7217839	389.9176418	254.4964525
UH_P104	181.0515329	253.876391	229.8068773	246.8866512	297.5217347	315.7241159	417.8417682	379.5885494
UH_P115	187.1605028	237.6371737	208.6784047	206.3561358	286.29806	296.5772373	411.2531501	452.0162946
UH_P128	180.011339	222.3816075	212.700169	221.0146199	264.3609145	307.8353768	365.835788	316.5281027
UH_P148	144.7053321	229.0616743	198.692361	184.6752763	221.3023283	222.000269	340.6632255	332.5810061
UH_S018	169.8461662	235.2586355	199.1559549	184.1317193	260.1119058	255.5978421	350.9368976	327.5252123
UH_S020	187.4630133	286.3828174	207.1065231	182.9969775	275.5089896	268.5151376	344.0649378	358.8606472
UH_S025	177.7504493	291.5055967	257.2590205	250.2350029	315.2815289	379.0755273	395.2576361	350.6110141
UH250	224.5273793	250.310989	229.86798	218.7999916	313.4096255	394.2914384	340.0799982	364.8183107
UH304	132.1042409	224.6879254	189.490809	123.3114693	220.7926599	279.0271583	386.6911366	305.6505426
Va26	207.6623053	273.5939672	237.4451086	202.4936641	327.805859	353.9011698	366.0023724	350.2071135
W117	225.1931047	248.3224691	237.2230131	213.8290515	314.2996502	331.7357997	361.4545275	341.7699356
W153R	189.2993605	215.1414374	212.1954425	230.0974279	256.5381395	342.432411	332.1717763	345.6316295
W182E	174.638371	262.8939518	225.6418903	223.9761055	235.5767945	319.0996213	336.7007616	326.4979112
W23	194.9745041	255.2133977	211.8807739	198.2328575	230.2627428	243.4833304	362.6282247	334.4911897
W602S	220.4514407	181.4982514	205.5152922	224.5373224	226.4197032	258.2232555	272.2396659	335.2371736
W604S	223.1465638	241.421443	202.962269	218.8576707	272.9529598	297.2996403	367.2263581	281.6730626
W64A	206.2005504	215.1298187	166.003974	197.1232908	247.855024	267.7391066	348.9410047	260.951864
W9	127.8415108	224.7318211	162.6891166	155.4704042	203.3864744	264.0479233	267.2558314	240.9483936
W95115	171.9097801	238.3709051	184.1245273	221.9012606	277.1982051	334.0063954	328.3145167	326.1826359
Wf9	206.3984509	320.1727296	222.391088	239.0744244	256.5520189	311.3414259	349.4433025	367.911988
