Variety	WUE_S12_WD	WUE_S13_WD	WUE_S16_WD	WUE_W13_WD	WUE_S12_WW	WUE_S13_WW	WUE_S16_WW	WUE_W13_WW
UH_2500	58.2793407	43.54635619	80.71524378	84.89288627	68.98889948	48.47107936	90.99996105	88.05767033
UH_6102	58.79727077	45.76637603	60.85231746	71.89651964	71.14565761	51.1519691	75.37881869	80.29448403
UH_6179	62.27573267	44.58115069	64.67092502	63.12978491	66.09734137	41.95668032	77.63600493	81.94871537
UH_P060	55.95860936	42.18945372	64.35683897	71.65753233	59.84671268	46.73344152	77.20717382	72.20844483
UH_P064	53.22506999	40.22900367	65.80419781	71.08877531	61.16774315	44.03673515	77.43486226	84.87608887
UH_P074	64.84010258	47.25518541	65.51378548	78.30986569	66.98029316	54.40733594	87.66774484	70.72834053
UH_P087	58.90882647	41.64826761	67.44905818	76.79855408	65.22562871	44.0329459	81.28986984	72.19589856
UH_P089	54.09192148	43.84612656	75.86237993	69.87975244	68.02508556	57.18213525	87.55055014	74.46817049
UH_P104	54.26903276	35.231694	69.87049416	71.79471462	60.61772941	46.61947623	78.92001542	81.68441461
UH_P115	55.17742278	42.82584358	75.54659524	80.50272833	63.73778617	47.17479554	91.87013184	104.0821994
UH_P128	59.64413728	43.46729987	72.83135739	78.42178711	73.70853759	49.75926655	87.48535314	84.70021042
UH_P148	60.51641128	45.20907804	60.5175959	73.20564154	68.96961024	43.26223298	90.87657818	84.11894992
UH_S018	50.64533978	54.52345982	74.16781272	67.14156488	56.72721835	53.26796296	84.65138767	88.13329009
UH_S020	45.61955292	48.19648709	79.21938144	80.72487273	58.03492774	33.23607097	71.93037428	81.72102869
UH_S025	53.2165086	52.8096114	71.71457673	79.30208085	69.98893762	48.93869024	94.24586065	96.56096801
UH250	74.32153347	48.24573032	74.63701308	78.67197157	62.13822134	56.19413646	91.9532442	85.38784909
UH304	47.36806926	42.36681506	64.87239862	87.51428797	62.53281412	51.57094352	89.02773916	77.61597712
Va26	50.53413191	51.37970658	66.69447518	73.01055033	64.12605278	54.59057654	86.75880171	98.57578675
W117	63.11226165	46.17645021	80.87888635	57.20194753	68.34570044	54.51132546	87.32560655	85.64658617
W153R	57.61256105	40.07257237	59.47481957	77.88362852	57.42169333	51.13539521	76.40572422	86.85998611
W182E	58.80506518	53.66095451	87.56019849	80.34332189	70.36865822	63.17605798	101.2551623	95.3830671
W23	51.02553934	48.02771742	73.28177952	85.87466288	61.65700264	45.54898142	84.16818102	95.51807571
W602S	64.9439142	43.80637372	67.72095916	82.29231375	61.48601739	50.79915614	83.68208375	77.69379006
W604S	51.97949549	53.51141815	72.47078531	86.8108563	66.4323597	56.42605913	85.65401155	89.69154166
W64A	56.9987698	47.62345152	78.40903859	77.96220266	65.12856673	51.2673772	83.00848381	72.23174799
W9	64.30451214	52.43068312	71.90903053	60.23621906	66.546812	48.24368905	84.79844838	60.09182082
W95115	56.87809218	46.53311617	70.82346288	75.25303841	67.21516204	52.8673512	83.0012593	87.0666936
Wf9	58.02876102	46.56065199	75.98131119	78.91626662	63.13984964	49.8069259	88.13046223	88.49591502
